brewery_name,beer_name,beer_style,beer_abv,num_reviews,rating,city,state
Anchor Brewing Company,Our Special Ale 2006 (Anchor Christmas Ale),Winter Warmer,5.5,258,3.87,San Francisco, CA
Anchor Brewing Company,Our Special Ale 2007 (Anchor Christmas Ale),Winter Warmer,5.5,362,3.93,San Francisco, CA
Anchor Brewing Company,Our Special Ale 2008 (Anchor Christmas Ale),Winter Warmer,5.5,411,3.8,San Francisco, CA
Anchor Brewing Company,Our Special Ale 2009 (Anchor Christmas Ale),Winter Warmer,5.5,340,3.96,San Francisco, CA
Anchor Brewing Company,Our Special Ale 2010 (Anchor Christmas Ale),Winter Warmer,5.5,348,3.86,San Francisco, CA
Anchor Brewing Company,Our Special Ale 2011 (Anchor Christmas Ale),Winter Warmer,5.5,232,3.86,San Francisco, CA
Anderson Valley Brewing Company,3-Way,American Strong Ale,8.5,1,4.0,Boonville, CA
Anderson Valley Brewing Company,Bahl Hornin' Imperial Boont Amber Ale,American Amber / Red Ale,8.8,15,3.93,Boonville, CA
Anderson Valley Brewing Company,Bahl Hornin' Mowkeef,Saison / Farmhouse Ale,5.4,3,3.67,Boonville, CA
Anderson Valley Brewing Company,Barkley's Sour Horn,American Barleywine,9.0,3,3.83,Boonville, CA
Anderson Valley Brewing Company,Barney Flats Oatmeal Stout,Oatmeal Stout,5.7,772,4.09,Boonville, CA
Anderson Valley Brewing Company,Beerguy - Over The Top India Pale Ale,American IPA,7.0,16,3.16,Boonville, CA
Anderson Valley Brewing Company,Boont Amber Ale,American Amber / Red Ale,5.8,458,3.97,Boonville, CA
Anderson Valley Brewing Company,Boont ESB,Extra Special / Strong Bitter (ESB),6.8,342,3.8,Boonville, CA
Anderson Valley Brewing Company,Boontlinger Weiss,Kristalweizen,4.7,7,3.36,Boonville, CA
Anderson Valley Brewing Company,Brother David's Belgian-style Double Ale,Dubbel,9.0,253,3.54,Boonville, CA
Anderson Valley Brewing Company,Brother David's Triple Abbey Style Ale,Tripel,10.0,318,3.34,Boonville, CA
Anderson Valley Brewing Company,Buckeye Brown,American Brown Ale,6.3,4,1.5,Boonville, CA
Anderson Valley Brewing Company,Deep Enders Dark Porter,American Porter,5.5,125,3.9,Boonville, CA
Anderson Valley Brewing Company,Gatlin Damnosus,American Barleywine,8.8,10,3.75,Boonville, CA
Anderson Valley Brewing Company,High Rollers Wheat,American Pale Wheat Ale,5.3,72,3.44,Boonville, CA
Anderson Valley Brewing Company,Hop Ottin' IPA,American IPA,7.0,1045,4.01,Boonville, CA
Anderson Valley Brewing Company,Horn Of The Beer,American Barleywine,8.6,7,3.43,Boonville, CA
Anderson Valley Brewing Company,Horse Tongue Wheat,American Wild Ale,5.0,1,4.0,Boonville, CA
Anderson Valley Brewing Company,Huge'r Boont,American IPA,7.3,9,3.78,Boonville, CA
Anderson Valley Brewing Company,Imperial IPA,American Double / Imperial IPA,8.7,965,3.75,Boonville, CA
Anderson Valley Brewing Company,Mendo Mellow,American IPA,5.5,7,3.79,Boonville, CA
Anderson Valley Brewing Company,Nettled Madge Black IPA,American Black Ale,6.5,4,4.12,Boonville, CA
Anderson Valley Brewing Company,Poleeko Gold Pale Ale,American Pale Ale (APA),5.5,294,4.0,Boonville, CA
Anderson Valley Brewing Company,Port Barrel Aged Oatmeal Stout,Oatmeal Stout,8.7,14,3.89,Boonville, CA
Anderson Valley Brewing Company,Summer Solstice Cerveza Crema,Cream Ale,5.6,360,3.77,Boonville, CA
Anderson Valley Brewing Company,V.S.O.B.,American Barleywine,8.8,5,3.7,Boonville, CA
Anderson Valley Brewing Company,Wee Geech,American IPA,4.0,10,4.4,Boonville, CA
Anderson Valley Brewing Company,Winter Solstice Seasonal Ale,Winter Warmer,6.9,602,3.85,Boonville, CA
Arcadia Brewing Company,Arcadia Amber Ale,American Amber / Red Ale,5.8,73,3.21,Battle Creek, MI
Arcadia Brewing Company,Arcadia Angler's Ale,English Pale Ale,5.4,135,3.38,Battle Creek, MI
Arcadia Brewing Company,Arcadia B-Craft Black IPA,American Black Ale,8.5,12,4.04,Battle Creek, MI
Arcadia Brewing Company,Arcadia Big Dick's Olde Ale,Old Ale,8.0,135,3.48,Battle Creek, MI
Arcadia Brewing Company,Arcadia Cannonball Gold,American Pale Ale (APA),6.5,4,3.75,Battle Creek, MI
Arcadia Brewing Company,Arcadia Cereal City Bitter,English Bitter,3.2,2,3.75,Battle Creek, MI
Arcadia Brewing Company,Arcadia Cereal Killer Barley Wine,English Barleywine,10.0,226,3.65,Battle Creek, MI
Arcadia Brewing Company,Arcadia Cocoa Loco,American Stout,7.0,247,3.49,Battle Creek, MI
Arcadia Brewing Company,Arcadia Hair Of The Wild Dog,American Brown Ale,6.0,2,4.0,Battle Creek, MI
Arcadia Brewing Company,Arcadia Hop Rocket,American Double / Imperial IPA,9.0,173,3.87,Battle Creek, MI
Arcadia Brewing Company,Arcadia HopMouth Double IPA,American Double / Imperial IPA,8.1,446,3.75,Battle Creek, MI
Arcadia Brewing Company,Arcadia IPA,English India Pale Ale (IPA),5.9,328,3.59,Battle Creek, MI
Arcadia Brewing Company,Arcadia IPA Dry Hopped With Cascade Hops,American IPA,5.9,1,4.5,Battle Creek, MI
Arcadia Brewing Company,Arcadia Imperial Stout,Russian Imperial Stout,8.4,249,3.85,Battle Creek, MI
Arcadia Brewing Company,Arcadia Jaw-Jacker,Herbed / Spiced Beer,6.0,124,3.31,Battle Creek, MI
Arcadia Brewing Company,Arcadia Lake Superior ESB,Extra Special / Strong Bitter (ESB),5.5,64,3.66,Battle Creek, MI
Arcadia Brewing Company,Arcadia Loch Down Scotch Ale,Scotch Ale / Wee Heavy,8.0,234,3.68,Battle Creek, MI
Arcadia Brewing Company,Arcadia London Porter,English Porter,7.2,256,4.0,Battle Creek, MI
Arcadia Brewing Company,Arcadia Nut Brown Ale,English Brown Ale,5.6,124,3.57,Battle Creek, MI
Arcadia Brewing Company,Arcadia Roggan Berry,Fruit / Vegetable Beer,7.5,3,3.5,Battle Creek, MI
Arcadia Brewing Company,Arcadia Shipwreck Porter,Baltic Porter,12.0,97,3.75,Battle Creek, MI
Arcadia Brewing Company,Arcadia Sky High Rye,Rye Beer,6.0,142,3.92,Battle Creek, MI
Arcadia Brewing Company,Arcadia Special Reserve,English Pale Mild Ale,4.7,17,3.62,Battle Creek, MI
Arcadia Brewing Company,Arcadia Starboard Stout,Oatmeal Stout,5.6,153,3.37,Battle Creek, MI
Arcadia Brewing Company,Arcadia Starboard Stout With Cinnamon,Oatmeal Stout,5.6,1,4.0,Battle Creek, MI
Arcadia Brewing Company,Arcadia Whitsun Ale,American Pale Wheat Ale,6.2,200,3.52,Battle Creek, MI
Arcadia Brewing Company,Bourbon Barrel Aged Shipwreck Porter,Baltic Porter,12.0,144,4.13,Battle Creek, MI
Arcadia Brewing Company,Panama Red,American Amber / Red Ale,7.8,1,4.0,Battle Creek, MI
Arcadia Brewing Company,Tail Ale,American Pale Wheat Ale,5.0,2,3.25,Battle Creek, MI
Arctic Craft Brewery,Milk Stout,American Double / Imperial Stout,11.0,588,2.8,Colorado Springs, CO
Arctic Craft Brewery,On-On Ale,American Amber / Red Ale,5.4,11,3.0,Colorado Springs, CO
Arctic Craft Brewery,Patientia Sour,American Wild Ale,5.2,3,3.5,Colorado Springs, CO
Arctic Craft Brewery,Porter,American Porter,9.2,1595,4.25,Colorado Springs, CO
Arctic Craft Brewery,Vanilla Porter,American Porter,9.2,880,3.6,Colorado Springs, CO
Arctic Craft Brewery,Warning Sign Eisbock,Eisbock,18.0,4,4.0,Colorado Springs, CO
Armadillo Ale Works,Quakertown Stout,American Double / Imperial Stout,9.8,1,4.5,Denton, TX
Asher Brewing Company,Green Bullet Organic IPA,American IPA,7.2,6,3.83,Boulder, CO
Asher Brewing Company,Green Lantern Organic Kolsh,Kölsch,4.8,1,3.0,Boulder, CO
Asher Brewing Company,Green Monstah Organic Strong Ale,American Strong Ale,9.2,8,3.38,Boulder, CO
Asher Brewing Company,Greenade Organic Double IPA,American IPA,9.0,5,3.5,Boulder, CO
Asher Brewing Company,Tree Hugger Organic Amber,American Amber / Red Ale,6.0,2,3.25,Boulder, CO
Asheville Brewing Company,Escape Artist Pale Ale,American Pale Ale (APA),5.5,10,3.55,Asheville, NC
Asheville Brewing Company,Fire Escape,Fruit / Vegetable Beer,5.5,3,4.33,Asheville, NC
Asheville Brewing Company,Houdini ESP,American Pale Ale (APA),5.5,10,4.17,Asheville, NC
Asheville Brewing Company,Ninja Porter,American Porter,5.25,40,3.57,Asheville, NC
Asheville Brewing Company,Old School Pale Ale,American Pale Ale (APA),3.2,15,4.29,Asheville, NC
Asheville Brewing Company,Red Light,American Pale Ale (APA),5.2,8,4.0,Asheville, NC
Asheville Brewing Company,Rocket Girl,Kölsch,3.2,6,3.33,Asheville, NC
Asheville Brewing Company,Roland's ESB,Extra Special / Strong Bitter (ESB),5.0,4,3.5,Asheville, NC
Asheville Brewing Company,Scottish Brown Ale,American Brown Ale,4.7,5,4.0,Asheville, NC
Asheville Brewing Company,Scout Stout,American Stout,5.5,10,3.7,Asheville, NC
Asheville Brewing Company,Shiva IPA,American IPA,6.0,59,3.76,Asheville, NC
Asheville Brewing Company,Shiva Ratri,American Double / Imperial IPA,9.5,3,3.25,Asheville, NC
Austin Beerworks,Battle Axe,American Amber / Red Ale,8.0,6,4.17,Austin, TX
Austin Beerworks,Black Thunder,Schwarzbier,5.2,2,3.75,Austin, TX
Austin Beerworks,Fire Eagle IPA,American IPA,6.2,27,3.85,Austin, TX
Austin Beerworks,Peacemaker Extra Pale Ale,English Pale Mild Ale,5.1,17,3.44,Austin, TX
Austin Beerworks,Pearl Snap Pils,German Pilsener,5.3,19,4.0,Austin, TX
Avery Brewing Company,14'ER ESB,Extra Special / Strong Bitter (ESB),5.13,286,3.72,Boulder, CO
Avery Brewing Company,Ale To The Chief,American Double / Imperial IPA,8.75,383,3.99,Boulder, CO
Avery Brewing Company,Avery  De Vogelbekdieren (The Platypus),Quadrupel (Quad),10.5,7,4.36,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Eighteen (Dry Hopped Rye Saison),Saison / Farmhouse Ale,8.12,160,3.58,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Eleven,American Double / Imperial IPA,9.0,97,4.09,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Fifteen,American Wild Ale,7.68,375,3.46,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Fourteen,Belgian Strong Dark Ale,9.46,238,3.89,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Seventeen (Dry Hopped Black Lager),Schwarzbier,8.69,206,3.86,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Sixteen,Saison / Farmhouse Ale,7.69,207,3.86,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Ten,American Double / Imperial IPA,10.0,92,3.83,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Thirteen,Weizenbock,9.5,219,3.9,Boulder, CO
Avery Brewing Company,Avery Anniversary Ale - Twelve (Saison Ale),Saison / Farmhouse Ale,7.6,185,3.6,Boulder, CO
Avery Brewing Company,Bad Sally,American Wild Ale,9.0,4,3.5,Boulder, CO
Avery Brewing Company,Ballsmack!!! Baltic Porter,Baltic Porter,6.7,2,3.75,Boulder, CO
Avery Brewing Company,Big Smoky,Rauchbier,9.0,5,3.3,Boulder, CO
Avery Brewing Company,Black And Tan,Black & Tan,5.0,7,3.5,Boulder, CO
Avery Brewing Company,Black Tot,American Double / Imperial Stout,10.08,111,3.47,Boulder, CO
Avery Brewing Company,Black Tot (Bourbon Barrel),American Double / Imperial Stout,10.08,2,4.25,Boulder, CO
Avery Brewing Company,Black Tot (Rye Barrel),American Double / Imperial Stout,10.08,2,4.5,Boulder, CO
Avery Brewing Company,Brabant,American Wild Ale,8.65,288,3.69,Boulder, CO
Avery Brewing Company,Brett Reverend,Quadrupel (Quad),10.0,1,5.0,Boulder, CO
Avery Brewing Company,Brett Salvation,Belgian Strong Pale Ale,9.0,2,4.25,Boulder, CO
Avery Brewing Company,Buddha’s Hand,Belgian Pale Ale,5.0,4,3.75,Boulder, CO
Avery Brewing Company,Calypso,Kristalweizen,6.5,7,3.7,Boulder, CO
Avery Brewing Company,Coffee Czar,American Double / Imperial Stout,11.03,1,5.0,Boulder, CO
Avery Brewing Company,Collaboration Not Litigation Ale,Belgian Strong Dark Ale,8.72,638,3.88,Boulder, CO
Avery Brewing Company,Deviation,Euro Strong Lager,9.0,4,4.0,Boulder, CO
Avery Brewing Company,Dihos Dactylion,American Wild Ale,10.3,56,4.01,Boulder, CO
Avery Brewing Company,Double Dry Hopped Dugana IPA,American Double / Imperial IPA,8.5,2,3.75,Boulder, CO
Avery Brewing Company,Drie Ellies,American Wild Ale,6.0,1,4.5,Boulder, CO
Avery Brewing Company,Dry-Hopped DuganA,American IPA,8.5,1,4.0,Boulder, CO
Avery Brewing Company,Dry-Hopped India Pale Ale,American IPA,6.5,10,4.2,Boulder, CO
Avery Brewing Company,Dry-Hopped New World Porter,American Porter,6.7,1,5.0,Boulder, CO
Avery Brewing Company,Dry-hopped Joe,American Double / Imperial Pilsner,4.7,2,4.0,Boulder, CO
Avery Brewing Company,DuganA IPA,American Double / Imperial IPA,8.5,489,4.03,Boulder, CO
Avery Brewing Company,Dépuceleuse,American Wild Ale,9.73,144,3.85,Boulder, CO
Avery Brewing Company,Ellie's Brown Ale,American Brown Ale,5.5,566,3.98,Boulder, CO
Avery Brewing Company,Freckles,Saison / Farmhouse Ale,8.5,1,4.0,Boulder, CO
Avery Brewing Company,Freckles Saison,Saison / Farmhouse Ale,8.5,1,3.5,Boulder, CO
Avery Brewing Company,Fumator,Rauchbier,9.0,14,3.79,Boulder, CO
Avery Brewing Company,Gemini,American Double / Imperial IPA,8.1,34,4.25,Boulder, CO
Avery Brewing Company,Hand Drawn: Joe's Pilsner,Czech Pilsener,5.6,2,2.75,Boulder, CO
Avery Brewing Company,Hog Heaven Barley Wine,American Barleywine,9.2,799,3.89,Boulder, CO
Avery Brewing Company,Hot For Sammy,Old Ale,15.0,1,4.0,Boulder, CO
Avery Brewing Company,Immitis,American Wild Ale,9.54,24,3.88,Boulder, CO
Avery Brewing Company,India Pale Ale (IPA),American IPA,6.5,1090,3.94,Boulder, CO
Avery Brewing Company,Jerry's Roggenbier,Rye Beer,5.2,5,4.0,Boulder, CO
Avery Brewing Company,Joe's Premium American Pilsner,American Pale Lager,4.7,159,3.86,Boulder, CO
Avery Brewing Company,Karma,Belgian Pale Ale,5.2,440,3.53,Boulder, CO
Avery Brewing Company,Lilikoi Mahu,Fruit / Vegetable Beer,5.6,6,3.67,Boulder, CO
Avery Brewing Company,Liquor Mart 40th Anniversary Ale,Belgian Pale Ale,6.2,13,3.46,Boulder, CO
Avery Brewing Company,Maharaja,American Double / Imperial IPA,10.3,1545,4.04,Boulder, CO
Avery Brewing Company,Mai-Rye Bock,Maibock / Helles Bock,9.0,6,3.58,Boulder, CO
Avery Brewing Company,Margarete,American Double / Imperial Stout,15.43,29,4.29,Boulder, CO
Avery Brewing Company,Mephaddict,American Double / Imperial Stout,16.03,33,4.39,Boulder, CO
Avery Brewing Company,Mephistopheles' Stout,American Double / Imperial Stout,16.8,693,3.66,Boulder, CO
Avery Brewing Company,Meretrix,American Wild Ale,9.62,24,4.27,Boulder, CO
Avery Brewing Company,Moloch,American Strong Ale,13.0,9,4.17,Boulder, CO
Avery Brewing Company,New World Porter,American Porter,6.7,442,3.92,Boulder, CO
Avery Brewing Company,Oak Barrel Reverend,Quadrupel (Quad),10.0,1,5.0,Boulder, CO
Avery Brewing Company,Oak Barrel Salvation,Belgian Strong Pale Ale,9.0,2,4.5,Boulder, CO
Avery Brewing Company,Old Jubilation,Old Ale,8.3,712,3.84,Boulder, CO
Avery Brewing Company,Opus Altar Boy,American Wild Ale,10.0,1,5.0,Boulder, CO
